date;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;cat_ddd;category_region;flood
30/03/2017;25;33;27,7;82;0,6;5,5;7;260;3;8;1;0
02/04/2017;24;33,8;27,3;88;3,7;4,5;4;260;1;8;1;0
03/04/2017;24;32,8;26,6;88;4,8;4,3;4;180;2;8;1;1
04/04/2017;24;33,4;26,8;85;57;4,9;4;190;2;8;1;1
05/04/2017;24;32;27,3;82;6;5,6;5;260;3;8;1;1
08/04/2017;24;30,2;26,4;83;2;2;5;240;3;7;1;0
09/04/2017;25;34,8;28,1;77;0;5,8;7;230;3;7;1;0
10/04/2017;25;35,4;28,7;75;3,9;7;4;230;5;8;1;1
12/04/2017;25;33,8;27,8;82;47,8;4;3;260;5;8;1;1
13/04/2017;25;32;27,7;86;10,6;2,6;3;90;4;8;1;0
15/04/2017;25;32,8;27,8;80;0;4,9;3;180;4;5;1;0
16/04/2017;25;32,4;27,4;80;2,8;1,8;4;260;4;8;1;0
17/04/2017;24;34;28;79;0;4,3;3;180;3;1;1;0
18/04/2017;24;33,4;27,5;84;0;4,1;3;130;3;5;1;0
19/04/2017;25;33,4;26,9;84;0;4,7;3;170;3;8;1;0
20/04/2017;24;33,4;28,1;78;17,8;4,4;4;70;4;3;1;1
22/04/2017;25;33;27,5;86;2,6;4,5;4;260;8;8;1;0
23/04/2017;24;33,4;27,5;83;9,8;2,7;3;150;5;6;1;1
25/04/2017;25;33,4;27,2;86;10;7,4;3;80;2;3;1;0
26/04/2017;24;31,8;26,1;88;57,8;0,6;4;180;3;1;1;0
27/04/2017;23;32,4;27,4;84;55,9;4,6;3;240;4;7;1;0
28/04/2017;24;32,6;27,1;82;33;6,5;4;230;5;7;1;0
29/04/2017;24;33;28,1;73;0;4,7;4;260;5;7;1;0
30/04/2017;25;33,2;27,5;76;0,2;3,6;4;230;4;7;1;0
01/05/2017;25;34,2;28,1;84;4,1;0,6;3;170;4;1;1;1
02/05/2017;25;34;27,6;84;0,3;5,1;4;160;2;5;1;1
04/05/2017;24;33;27;85;4,3;4;4;90;3;5;1;1
05/05/2017;24;33,2;27,7;83;1,2;4;3;90;4;1;1;1
06/05/2017;24;31,8;26,1;89;6,4;0,6;3;80;4;1;1;1
07/05/2017;24;31,4;25,1;94;58;3,3;4;90;4;1;1;1
08/05/2017;24;33;26,9;83;17;4,1;3;60;4;3;1;0
09/05/2017;24;32;27,2;85;1,7;3,1;3;80;5;1;1;0
10/05/2017;24;29,8;27,2;83;0,7;0,8;3;180;2;1;1;0
18/05/2017;26;34;28,4;81;6;5;2;50;0;2;1;0
29/05/2017;25;33;26,6;88;2;0,1;3;80;4;1;1;0
30/05/2017;24;32,2;27,3;84;16,1;3,4;4;80;6;1;1;0
31/05/2017;24;33,6;28,7;76;1,4;3,7;4;90;5;1;1;0
02/06/2017;25;32;27,7;80;0,2;0,4;3;90;4;1;1;0
05/06/2017;25;32,8;28,2;80;1,6;5,1;2;130;3;6;1;0
06/06/2017;24;33;27,9;78;33;7,1;3;80;3;1;1;1
12/06/2017;23;33,4;29;76;0,7;5,1;5;40;5;3;1;0
14/06/2017;23;32,4;27,2;82;16,9;4,2;2;50;4;3;1;0
16/06/2017;25;33,6;28,8;75;1;7,7;4;90;6;3;1;0
19/06/2017;24;33,4;27,7;70;32;5,3;3;160;3;1;1;0
